ORDER_ID	CLASS	B_EMAIL	B_TELEFON	B_BIRTHDATE	FLAG_LRIDENTISCH	FLAG_NEWSLETTER	Z_METHODE	Z_CARD_ART	Z_CARD_VALID	Z_LAST_NAME	VALUE_ORDER	WEEKDAY_ORDER	TIME_ORDER	AMOUNT_ORDER	ANUMMER_01	ANUMMER_02	ANUMMER_03	ANUMMER_04	ANUMMER_05	ANUMMER_06	ANUMMER_07	ANUMMER_08	ANUMMER_09	ANUMMER_10	CHK_LADR	CHK_RADR	CHK_KTO	CHK_CARD	CHK_COOKIE	CHK_IP	FAIL_LPLZ	FAIL_LORT	FAIL_LPLZORTMATCH	FAIL_RPLZ	FAIL_RORT	FAIL_RPLZORTMATCH	SESSION_TIME	NEUKUNDE	AMOUNT_ORDER_PRE	VALUE_ORDER_PRE	DATE_LORDER	MAHN_AKT	MAHN_HOECHST
1858	no	yes	no	12/28/1975	yes	no	credit_card	Amex	10.2005	yes	16.0	Wednesday	12:16	1	407156	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
25962	no	yes	no	11/4/1961	yes	no	check	?	1.2007	?	19.99	Sunday	20:03	1	500214	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	yes	0	0.0	?	?	?
5144	no	no	no	2/7/1978	yes	no	debit_note	?	1.2006	yes	14.5	Saturday	12:31	1	602845	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	yes	no	no	no	no	no	14	yes	0	0.0	?	?	?
46506	no	no	no	?	yes	no	check	?	8.2007	?	56.0	Monday	6:03	1	401967	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0.0	?	?	?
4165	no	no	no	6/30/1964	no	no	debit_note	?	6.2005	yes	63.99	Wednesday	12:54	2	203639	209736	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	no	1	35.19	12/17/2004	0	0
42461	no	yes	no	7/4/1969	yes	yes	check	?	1.2005	?	16.0	Saturday	20:32	1	202089	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	2	11.16	1/5/2004	1	1
31690	no	yes	no	4/16/1975	yes	no	check	?	7.2007	?	54.5	Thursday	12:05	1	200576	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
26153	no	yes	no	2/5/1952	yes	no	debit_note	?	3.2007	yes	148.3	Thursday	20:40	3	406284	202399	106310	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	no	1	51.94	9/8/2002	0	0
35741	no	no	no	1/6/1985	yes	no	debit_card	debit_card	10.2005	yes	9.99	Tuesday	18:55	1	506284	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	0	0.0	?	?	?
199	yes	no	no	6/9/1952	no	no	credit_card	Eurocard	11.2007	yes	69.49	Thursday	21:23	2	404341	405685	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	yes	0	0.0	?	?	?
8190	no	no	no	12/5/1953	yes	no	credit_card	Visa	4.2007	yes	112.3	Monday	6:54	2	106310	207359	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0.0	?	?	?
36122	yes	no	no	12/24/1953	yes	no	check	?	7.2006	?	18.2	Sunday	1:12	1	103776	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	yes	0	0.0	?	?	?
24294	no	yes	no	10/2/1978	yes	no	check	?	11.2005	?	12.8	Friday	9:16	1	202845	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
43859	no	yes	no	4/24/1982	no	no	credit_card	Eurocard	4.2005	yes	8.5	Monday	18:18	1	400953	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0.0	?	?	?
19091	no	yes	no	?	yes	no	check	?	1.2007	?	17.5	Saturday	14:19	1	107046	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	1	12.7	7/13/2001	0	0
31802	no	yes	no	4/23/1960	yes	no	check	?	1.2007	?	26.3	Saturday	15:45	2	205431	209662	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	no	2	111.24	6/2/2002	0	0
23876	no	yes	no	11/20/1980	yes	no	check	?	3.2005	?	17.8	Thursday	4:22	1	101796	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	yes	0	0.0	?	?	?
36588	no	no	no	12/16/1973	no	no	debit_note	?	6.2006	yes	23.5	Tuesday	12:38	1	204765	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
48621	no	yes	yes	7/16/1980	no	no	debit_card	debit_card	11.2005	yes	55.4	Friday	17:34	2	202697	400450	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	14	no	1	9.66	7/23/2001	0	0
34151	no	yes	no	2/27/1963	yes	no	credit_card	Visa	7.2007	yes	68.4	Wednesday	7:09	1	203950	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	no	1	15.99	12/25/2004	0	0
362	no	yes	no	1/21/1985	yes	no	check	?	9.2006	?	37.79	Tuesday	21:26	2	206858	408997	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	no	1	56.59	4/24/2003	0	1
8842	no	yes	yes	10/25/1983	yes	no	check	?	2.2007	?	18.2	Saturday	21:47	1	400035	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	yes	0	0.0	?	?	?
20041	no	yes	no	3/19/1950	yes	no	check	?	10.2007	?	35.8	Wednesday	5:11	2	407387	109006	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
35554	no	yes	no	9/26/1971	yes	no	check	?	7.2005	?	84.49	Friday	14:30	2	107255	308889	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	1	106.0	6/10/2002	1	1
37715	no	no	no	?	no	no	credit_card	Eurocard	12.2005	yes	121.89	Sunday	13:50	3	504792	405284	301893	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	no	1	6.5	5/14/2001	0	0
16758	no	yes	no	4/1/1975	no	no	credit_card	Visa	11.2005	yes	14.5	Sunday	0:22	1	306398	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	no	1	174.97	3/18/2004	0	1
3511	no	yes	no	2/4/1962	no	no	debit_note	?	10.2005	yes	12.8	Sunday	3:37	1	402399	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0.0	?	?	?
44986	no	no	yes	9/6/1946	no	no	credit_card	Amex	12.2007	yes	54.5	Sunday	13:10	1	207610	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	yes	0	0.0	?	?	?
9777	no	yes	no	6/2/1970	no	no	debit_note	?	8.2006	yes	16.0	Wednesday	11:55	1	502677	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	no	3	293.37	4/24/2004	0	0
9929	no	yes	no	9/30/1969	yes	no	check	?	4.2007	?	66.49	Saturday	8:51	2	400822	104485	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	no	1	63.14	5/30/2001	0	0
36693	no	yes	no	10/1/1935	yes	no	check	?	4.2005	?	65.8	Wednesday	16:37	3	200953	300124	401216	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	yes	0	0.0	?	?	?
5356	no	no	no	5/28/1980	yes	no	credit_card	Eurocard	6.2005	yes	12.6	Friday	6:03	1	505580	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0.0	?	?	?
